ORDERKEY,CUSTKEY,ORDERSTATUS,TOTALPRICE,ORDERDATE,ORDERPRIORITY,CLERK,SHIPPRIORITY,COMMENT
729161816,2346149002,1944776273,1021683299,1933012087,281236619,27386013574
729719676,2350750913,1947017821,1021744938,1934094215,281177277,27375188514
729370274,2348694597,1945977211,1021468978,1932856957,281279075,27362194565
728680349,2350602469,1943737811,1020969643,1933535560,281215663,27390929957
728969179,2348894377,1945861128,1021701002,1933947282,281209975,27381657672
728873711,2350652594,1943303753,1021111982,1934112114,281208172,27367718925
729218808,2348584810,1943068225,1021226176,1932704166,281198462,27413237264
729816603,2350367668,1942427141,1021356642,1935540819,281227393,27346045517
727845941,2348791134,1945808249,1021265569,1935688216,281195050,27413799971
727787114,2351647750,1942610227,1021458670,1935763611,281186964,27761793697
